"TLID,N,10,0","FEDIRP,C,2","FENAME,C,16","FETYPE,C,5","FEDIRS,C,2","FRADDL,N,5,0","TOADDL,N,5,0","FRADDR,N,5,0","TOADDR,N,5,0"
184643764,N,Filis,St,,4000,4098,4001,4099
184643765,N,Filis,St,,3900,3998,3901,3999
184643766,N,Camino,St,,5100,5248,5101,5301
184643767,N,Filis,St,,3700,3798,3701,3799
184643768,N,Filis,St,,3800,3898,3801,3899
184643769,N,Brada,St,,5100,5298,5101,5299
184643770,N,Blant,St,,5250,5298,5251,5349
184643771,N,Blant,St,,5200,5248,5125,5249
184643772,N,Tolleniau,St,,4300,4398,4301,4399
184643773,N,Tolleniau,St,,4200,4298,4201,4299
184643774,N,Carretera,St,,5100,5198,5101,5199
184643775,N,Parla,St,,4400,4422,4311,4499
184643776,N,Darluniau,St,,5000,5098,5001,5099
184643777,N,Dafnidos,St,,5100,5198,5101,5199
184643778,N,Parla,St,,4306,4398,4301,4309
184643779,N,Carretera,St,,5000,5098,5001,5099
184643780,N,Parla,St,,4300,4304,4215,4299
184643781,N,Limnou,St,,4300,4498,4301,4499
184643782,N,Darluniau,St,,4900,4998,4901,4999
184643783,N,Limnou,St,,4200,4298,4201,4299
184643784,N,Carretera,St,,4900,4998,4901,4999
184643785,N,Parla,St,,4200,4298,4201,4213
184643786,N,Carnero,St,,5100,5120,5101,5199
184643787,N,Carnero,St,,5000,5098,5001,5099
184643788,N,Parla,St,,4100,4198,4101,4199
184643789,N,Carnero,St,,4900,4998,4901,4999
184643791,N,Blant,St,,5100,5198,5101,5123
184643792,N,Tolleniau,St,,3700,3798,3701,3799
184643794,N,Parla,St,,4018,4098,,
184643795,N,Parla,St,,4000,4016,,
184643797,N,Parla,St,,3950,3998,3951,3999
184643798,N,Parla,St,,3900,3948,3901,3949
184643799,N,Brada,St,,5000,5098,5001,5099
184643800,N,Parla,St,,3874,3898,3875,3899
184643801,N,Parla,St,,3800,3872,3801,3873
184643802,,Nikomidias,St,,5099,5001,5098,5000
184643803,N,Blant,St,,5000,5098,5001,5099
184643804,N,Parla,St,,3700,3798,3701,3799
184643806,N,Brada,St,,4900,4998,4805,4999
184643807,N,Blant,St,,4900,4998,4949,4999
184643808,N,Limnou,St,,3700,3798,3701,3801
184643811,N,Carden,St,,5199,5101,5198,5100
184643812,N,Ithakis,St,,4800,4998,4801,4999
184643813,N,Derwen,St,,4800,4898,4801,4899
184643814,N,Ithakis,St,,4700,4798,4701,4799
184643815,N,Valmai,St,,4628,4668,4701,4719
184643816,N,Omirou,St,,4800,4898,4801,4899
184643817,N,Omirou,St,,4700,4798,4701,4799
184643818,N,Derwen,St,,4600,4798,4601,4799
184643819,N,Dentro,St,,,,,
184643820,N,Ithakis,St,,4600,4698,4601,4699
184643821,N,Dentro,St,,,,,
184643822,N,Delfon,St,,4800,4898,4801,4899
184643823,N,Ithakis,St,,4500,4598,4501,4599
184643824,N,Omirou,St,,4600,4698,4601,4699
184643825,N,Dentro,St,,4700,4798,4701,4799
184643826,N,Delfon,St,,4700,4798,4701,4799
184643827,N,Omirou,St,,4500,4598,4501,4599
184643829,N,Desafio,St,,,,,
184643831,N,Desafio,St,,,,,
184643832,,Rist,Way,,,,,
184643834,,Rist,Way,,,,,
184643836,N,Ketallinias,St,,4724,4800,4701,4799
184643838,N,Ketallinias,St,,4600,4650,4601,4699
184643839,N,Delfon,St,,4600,4698,4601,4699
184643840,N,Ketallinias,St,,4500,4598,4501,4599
184643841,N,Hacia,St,,4600,4700,4601,4799
184643842,N,Hacia,St,,4500,4598,4501,4599
184643843,N,Delfon,St,,4500,4598,4501,4599
184643844,N,Ithakis,St,,4300,4498,4301,4499
184643845,N,Darluniau,St,,4800,4898,4801,4899
184643846,N,Ithakis,St,,4200,4298,4201,4299
184643847,N,Carretera,St,,4800,4898,4801,4899
184643848,N,Carnero,St,,4800,4898,4801,4899
184643849,N,Ithakis,St,,4100,4198,4101,4199
184643850,N,Omirou,St,,4300,4498,4301,4499
184643851,N,Omirou,St,,4200,4298,4201,4299
184643852,N,Carretera,St,,4700,4798,4701,4799
184643853,N,Omirou,St,,4150,4198,4115,4199
184643854,N,Carnero,St,,4700,4798,4701,4799
184643855,N,Omirou,St,,4100,4148,4101,4113
184643859,N,Limnou,St,,3800,3848,3803,3849
184643860,N,Ithakis,St,,,,3857,3865
184643861,N,Brada,St,,4800,4898,4801,4803
184643862,,Nikomidias,St,,4999,4901,4998,4900
184643863,N,Nikomidias,St,,4800,4912,4801,4899
184643864,N,Blant,St,,4800,4898,4801,4947
184643865,N,Ithakis,St,,3700,3848,3701,3849
184643866,N,Carden,St,,4800,4848,4801,4849
184643867,N,Omirou,St,,3900,4098,3901,4099
184643868,N,Carden,St,,4700,4798,4701,4799
184643869,N,Omirou,St,,3850,3898,3851,3899
184643870,N,Brada,St,,4700,4798,4701,4799
184643871,N,Omirou,St,,3800,3848,3801,3849
184643873,N,Blant,St,,4700,4798,4701,4799
184643874,N,Omirou,St,,3700,3798,3701,3799
184643875,N,Darluniau,St,,4700,4798,4701,4799
184643876,N,Ketallinias,St,,4300,4498,4301,4499
184643877,N,Darluniau,St,,4600,4698,4601,4699
184643878,N,Ketallinias,St,,4200,4298,4201,4299
184643879,N,Carretera,St,,4600,4698,4601,4699
184643880,N,Ketallinias,St,,4118,4198,4151,4199
184643881,N,Carnero,St,,4600,4698,4601,4699
184643882,,Yale,St,,4748,4798,4749,4799
184643883,N,Ketallinias,St,,4100,4116,4101,4149
184643884,N,Hacia,St,,4300,4498,4301,4499
184643885,N,Darluniau,St,,4500,4598,4501,4599
184643886,N,Hacia,St,,4200,4298,4201,4299
184643887,N,Carretera,St,,4500,4598,4501,4599
184643888,N,Hacia,St,,4100,4198,4101,4199
184643889,N,Carnero,St,,4500,4598,4501,4599
184643890,N,Ketallinias,St,,3900,4098,3901,4099
184643891,N,Carden,St,,4600,4698,4601,4699
184643892,N,Ketallinias,St,,3850,3898,3851,3899
184643893,N,Brada,St,,4600,4698,4601,4699
184643894,N,Ketallinias,St,,3800,3848,3801,3849
184643895,N,Blant,St,,4600,4698,4601,4699
184643896,N,Ketallinias,St,,3700,3798,3701,3799
184643897,N,Hacia,St,,3900,4098,3901,4099
184643898,N,Carden,St,,4500,4598,4501,4599
184643899,N,Hacia,St,,3800,3898,3801,3899
184643900,N,Brada,St,,4500,4598,4501,4599
184643901,N,Hacia,St,,3700,3798,3701,3799
184643902,N,Blant,St,,4500,4598,4501,4599
184643903,N,Narkissou,St,,6400,6498,6401,6499
184643904,N,Wenna,St,,3500,3698,3501,3699
184643905,N,Bilar,St,,6300,6398,6301,6399
184643907,N,Thermopilon,St,,3450,3498,3451,3499
184643910,N,Thramvou,Dr,,,,,
184643911,N,Thermopilon,St,,3316,3448,3401,3449
184643912,N,Barwyn,St,,6200,6298,6201,6299
184643914,N,Thramvou,Dr,,6208,6234,6217,6299
184643915,,Thermopilon,St,,1199,1101,1198,1100
184643916,N,Thermopilon,St,,,,3101,3199
184643917,N,Hallanol,Dr,,3100,3198,3101,3199
184643918,N,Bilar,St,,5900,6032,5901,6011
184643920,N,Thramvou,Dr,,6200,6206,6201,6215
184643921,N,Gerantoni,St,,3300,3498,3301,3499
184643922,N,Barwyn,St,,6100,6198,6101,6199
184643926,N,Ionnanon,St,,3250,3498,3201,3499
184643927,N,Thramvou,Dr,,3250,6098,3251,6099
184643928,N,Thramvou,Dr,,3200,3248,3201,3249
184643929,N,Avionos,St,,6400,6498,6401,6499
184643930,N,Averof,St,,6499,6401,6498,6400
184643932,N,Wenna,St,,3099,3001,3098,3000
184643933,N,Aveny,St,,6499,6301,6498,6410
184643934,N,Aveny,St,,6300,6408,,
184643935,N,Thermopilon,St,,3000,3314,2817,3099
184643936,N,Thermopilon,St,,2800,2898,2801,2815
184643937,,,,,,,,
184643939,N,Artakis,St,,6010,6298,6015,6299
184643941,N,Arkadiou,St,,6252,6298,6251,6299
184643942,N,Thermopilon,St,,2514,2598,2401,2599
184643943,N,Arkadiou,St,,6200,6250,6201,6249
184643944,N,Handstil,Pl,,2800,3198,2801,3199
184643945,N,Averof,St,,6199,6001,6198,6000
184643946,N,Hallanol,Dr,,,,,
184643947,N,Averof,St,,5926,5998,5927,5999
184643948,N,Aveny,St,,6100,6198,6101,6199
184643949,N,Gerantoni,St,,2800,2830,2801,2999
184643950,N,Thramvou,Dr,,3100,3198,3101,3199
184643951,N,Avionos,St,,5900,5998,5901,5999
184643952,N,Averof,St,,5914,5924,5915,5925
184643953,N,Gerantoni,St,,2832,3098,3001,3099
184643954,N,Hallanol,Dr,,2842,3098,3001,3099
184643955,,,,,,,,
184643956,N,Hallanol,Dr,,2800,2840,2801,2999
184643957,N,Gerantoni,St,,2600,2798,2601,2799
184643958,N,Artakis,St,,6000,6008,6001,6013
184643959,N,Artakis,St,,5900,5998,5919,5999
184643960,N,Pilau,St,,3524,3698,3075,3095
184643961,N,Bilar,St,,5607,5601,,
184643962,N,Tzavella,St,,3500,3548,3357,3549
184643963,N,Barwyn,St,,6000,6098,6001,6099
184643964,N,Barwyn,St,,5900,5998,5901,5999
184643965,N,Pilau,St,,3300,3514,3049,3071
184643966,N,Tzavella,St,,3250,3498,3251,3355
184643968,N,Pilau,St,,3100,3196,3027,3035
184643969,N,Scarkeme,St,,3450,3698,3501,3649
184643970,N,Bilar,St,,5400,5498,5401,5499
184643972,N,Scarkeme,St,,3300,3448,3301,3499
184643973,N,Barwyn,St,,5400,5498,5401,5499
184643975,N,Thramvou,Dr,,3000,3098,3001,3099
184643976,N,Averof,St,,5900,5912,5901,5913
184643977,N,Pilau,St,,2950,3072,3001,3021
184643978,N,Aveny,St,,5750,5898,5707,5899
184643979,N,Pilau,St,,2800,2948,2801,2999
184643980,N,Leeno,St,,3000,3098,3001,3099
184643981,N,Aveny,St,,5700,5748,5701,5705
184643982,N,Pilau,St,,2600,2798,2601,2799
184643983,N,Arkadiou,St,,5900,6198,5901,6199
184643984,N,Arkadiou,St,,5700,5898,5701,5899
184643985,N,Pilau,St,,2100,2598,2101,2599
184643986,N,Aveny,St,,5600,5698,5601,5699
184643987,N,Leeno,St,,2600,2998,2601,2999
184643988,N,Aveny,St,,5500,5598,5501,5599
184643989,N,Yonille,St,,2600,2998,2601,2999
184643991,N,Scarkeme,St,,3000,3098,3001,3099
184643992,N,Averof,St,,5400,5498,5401,5499
184643993,N,Scarkeme,St,,2712,2998,2601,2999
184643994,N,Leeno,St,,2300,2598,2301,2599
184643995,N,Arkadiou,St,,5600,5698,5601,5699
184643996,N,Arkadiou,St,,5500,5598,5501,5599
184643997,N,Yonille,St,,2300,2598,2301,2599
184643998,N,Scarkeme,St,,2300,2598,2301,2599
184643999,N,Arkadiou,St,,5364,5498,5401,5499
184644000,N,Anrop,St,,6300,6398,6301,6399
184644001,N,Wenna,St,,1818,2298,1817,2299
184644002,N,Thermopilon,St,,2300,2512,2301,2399
184644003,N,Antoniadou,St,,6100,6298,6101,6299
184644004,N,Thermopilon,St,,1700,2298,1709,2299
184644005,N,Anrop,St,,6200,6298,6201,6299
184644006,N,Velestinou,Blvd,,6300,6498,6301,6499
184644007,,,,,,,,
184644008,N,Anrop,St,,6100,6136,6101,6119
184644009,N,Gerantoni,St,,1800,2298,1801,2299
184644010,N,Ionnanon,St,,1800,2298,1813,2199
184644011,N,Velestinou,Blvd,,6200,6298,6201,6299
184644012,N,Velestinou,Blvd,,6100,6198,6101,6199
184644013,N,Ionnanon,St,,1500,1598,1501,1511
184644014,N,Alamanas,St,,6105,6001,6098,6000
184644017,,Padarn,St,,1101,1199,1134,1216
184644019,,Padarn,St,,1201,1299,1218,1298
184644020,,Lakendra,Pky,,1298,1236,,
184644024,,Lakendra,Pky,,1398,1300,,
184644027,,,,,,,,
184644028,,,,,,,,
184644029,,,,,,,,
184644031,N,Alamanas,St,,6199,6107,6198,6100
184644032,N,Ionnanon,St,,,,,
184644033,,,,,,,,
184644034,,,,,,,,
184644035,,Lakendra,Pky,,1317,1399,5900,5998
184644036,,,,,,,,
184644037,,,,,,,,
184644038,,,,,,,,
184644040,N,Pilau,St,,1918,2098,1919,2099
184644041,N,Alm,St,,5799,5717,,
184644042,N,Alm,St,,5715,5705,,
184644043,,,,,,,,
184644044,N,Pilau,St,,1790,1916,1791,1917
184644047,N,Alm,St,,5618,5798,5701,5703
184644048,N,Zagoriou,St,,1400,1798,1401,1799
184644049,N,Leeno,St,,2100,2298,2101,2299
184644050,N,Anrop,St,,5600,5698,5601,5699
184644051,N,Androutsou,St,,5700,5898,5701,5899
184644052,N,Leeno,St,,1800,2098,1801,2099
184644053,N,Androutsou,St,,5600,5698,5601,5699
184644054,N,Anrop,St,,5500,5598,5501,5599
184644055,N,Yonille,St,,2100,2298,2101,2299
184644056,N,Scarkeme,St,,2100,2298,2101,2299
184644057,N,Anrop,St,,5400,5498,5401,5499
184644058,N,Androutsou,St,,5500,5598,5501,5599
184644059,N,Scarkeme,St,,1800,2098,1801,2099
184644060,N,Androutsou,St,,5400,5498,5401,5499
184644061,N,Alm,St,,5600,5616,5601,5699
184644062,N,Leeno,St,,1400,1798,1449,1799
184644063,N,Yonille,St,,1800,2098,1801,2099
184644064,N,Alm,St,,5500,5598,5501,5599
184644065,N,Yonille,St,,1400,1798,1401,1799
184644066,N,Scarkeme,St,,1400,1798,1401,1499
184644067,N,Alm,St,,5400,5498,5401,5499
184644068,,Lakendra,Pky,,5898,5800,5899,5801
184644069,N,Pilau,St,,1566,1628,1567,1629
184644070,N,Pilau,St,,1190,1564,1191,1565
184644071,N,Agisilaou,St,,,,,
184644072,N,Agisilaou,St,,,,,
184644073,N,Zagoriou,St,,1314,1398,1301,1399
184644074,N,Agisilaou,St,,5716,5848,5801,5849
184644075,N,Zagoriou,St,,1216,1312,1201,1299
184644076,N,Agiasou,St,,5700,5798,5701,5799
184644077,N,Zagoriou,St,,1148,1214,1151,1199
184644078,N,Agentes,St,,5700,5798,5701,5799
184644079,N,Agisilaou,St,,5700,5714,5701,5799
184644080,N,Pilau,St,,1120,1188,1121,1189
184644081,N,Achilleos,St,,5426,5898,5701,5899
184644082,,,,,,,,
184644084,,Leonidou,St,,5700,5798,5701,5799
184644085,,Skaldis,,,,,,
184644086,N,Pilau,St,,854,918,855,963
184644087,N,Ermou,St,,5613,5601,5598,5400
184644088,N,Agisilaou,St,,5600,5698,5601,5699
184644089,N,Leeno,St,,1300,1398,1301,1399
184644090,N,Agisilaou,St,,5500,5598,5501,5599
184644091,N,Leeno,St,,1148,1298,1149,1299
184644092,N,Leeno,St,,1034,1146,1035,1147
184644093,N,Agisilaou,St,,5400,5498,5401,5499
184644094,N,Leeno,St,,900,1032,901,1033
184644095,N,Achilleos,St,,5100,5424,5101,5699
184644096,N,Yonille,St,,900,1024,901,1025
184644097,N,Idris,Dr,,5400,5598,5401,5599
184644098,N,Ermou,St,,5300,5398,5501,5599
184644099,N,Scarkeme,St,,900,1098,901,1099
184644100,N,Acera,St,,5350,5498,5401,5499
184644101,N,Ermou,St,,5200,5298,5201,5499
184644103,N,Bilar,St,,5300,5398,5301,5399
184644105,N,Filis,St,,3550,3698,3501,3699
184644106,N,Bilar,St,,5200,5298,5201,5299
184644107,N,Finiatur,St,,3300,3498,3301,3499
184644108,N,Barwyn,St,,5300,5398,5301,5399
184644109,N,Bairn,St,,5300,5412,5301,5499
184644110,N,Finiatur,St,,3100,3298,3101,3299
184644111,N,Filis,St,,3500,3548,3401,3499
184644112,N,Filis,St,,3300,3498,3301,3399
184644113,N,Barwyn,St,,5200,5298,5201,5299
184644114,N,Filis,St,,3100,3298,3101,3299
184644115,N,Tolleniau,St,,3510,3698,3551,3699
184644116,,Platser,St,,5200,5298,5201,5299
184644117,N,Tolleniau,St,,3500,3508,3501,3549
184644118,N,Parla,St,,3600,3698,3601,3699
184644119,N,Bilar,St,,5000,5098,5001,5099
184644120,N,Limnou,St,,3600,3698,3601,3699
184644121,N,Bilar,St,,4900,4998,4901,4999
184644122,N,Berlau,St,,5000,5098,5001,5099
184644123,N,Parla,St,,3500,3598,3501,3599
184644124,N,Limnou,St,,3500,3598,3501,3599
184644125,N,Berlau,St,,4900,4998,4901,4999
184644126,N,Barwyn,St,,,,5121,5199
184644127,N,Tolleniau,St,,3300,3498,3301,3499
184644128,N,Barwyn,St,,5100,5198,5101,5119
184644129,N,Bairn,St,,5200,5298,5201,5299
184644130,N,Bairn,St,,5100,5198,5101,5199
184644131,N,Tolleniau,St,,3100,3298,3101,3299
184644132,N,Barwyn,St,,5000,5098,5001,5099
184644133,N,Parla,St,,3300,3498,3301,3499
184644134,N,Limnou,St,,3300,3498,3301,3499
184644135,N,Barwyn,St,,4900,4998,4901,4999
184644136,N,Parla,St,,3100,3298,3101,3299
184644137,N,Bairn,St,,5000,5098,5001,5099
184644138,N,Limnou,St,,3100,3298,3101,3299
184644139,N,Bairn,St,,4900,4998,4901,4999
184644140,N,Finiatur,St,,3000,3098,3001,3099
184644141,N,Averof,St,,5300,5398,5301,5399
184644142,N,Aveny,St,,5400,5498,5401,5499
184644143,N,Finiatur,St,,2600,2998,2601,2999
184644144,N,Filis,St,,3000,3098,3001,3099
184644145,N,Aveny,St,,5300,5398,5301,5399
184644146,N,Filis,St,,2900,2998,2901,2999
184644147,N,Filis,St,,2800,2898,2801,2899
184644148,N,Filis,St,,2700,2798,2701,2799
184644149,N,Arkadiou,St,,5232,5362,5301,5399
184644150,N,Arkadiou,St,,5100,5230,5101,5299
184644151,N,Filis,St,,2600,2698,2601,2699
184644152,N,Arkadou,St,,5100,5298,5101,5299
184644153,N,Averof,St,,5200,5298,5201,5299
184644154,N,Averof,St,,5100,5198,5101,5199
184644155,N,Asiant,St,,5114,5298,5115,5299
184644156,N,Asiant,St,,5100,5112,5101,5113
184644157,N,Mpinari,St,,5100,5198,5101,5199
184644158,N,Averof,St,,5000,5098,5001,5099
184644159,N,Parla,St,,3000,3098,3001,3099
184644160,N,Limnou,St,,3000,3098,3001,3099
184644161,N,Aveny,St,,5100,5298,5101,5299
184644162,N,Parla,St,,2900,2998,2901,2999
184644163,N,Aveny,St,,5000,5098,5001,5099
184644164,N,Asiant,St,,5000,5098,5001,5099
184644165,N,Parla,St,,2712,2898,2801,2899
184644166,N,Limnou,St,,2900,2998,2901,2999
184644167,N,Aveny,St,,4900,4998,4901,4999
184644168,N,Limnou,St,,2800,2898,2801,2899
184644169,N,Asiant,St,,4900,4998,4901,4999
184644170,N,Artakis,St,,5000,5098,5001,5099
184644171,N,Parla,St,,2700,2710,2701,2799
184644172,N,Limnou,St,,2700,2798,2701,2799
184644173,N,Artakis,St,,4900,4998,4901,4999
184644174,N,Parla,St,,2600,2698,2601,2699
184644175,N,Arkadou,St,,5000,5098,5001,5099
184644176,N,Parla,St,,2472,2598,2501,2599
184644177,N,Limnou,St,,2600,2698,2601,2699
184644178,N,Arkadou,St,,4900,4998,4901,4999
184644179,N,Arkadiou,St,,5000,5098,5001,5099
184644180,N,Arkadiou,St,,4900,4998,4901,4999
184644181,N,Limnou,St,,2500,2598,2501,2599
184644182,N,Ithakis,St,,3600,3698,3601,3699
184644183,N,Bilar,St,,4800,4898,4801,4899
184644184,N,Berlau,St,,4800,4898,4801,4899
184644185,N,Ithakis,St,,3500,3598,3501,3599
184644186,N,Omirou,St,,3600,3698,3601,3699
184644187,N,Bilar,St,,4700,4798,4701,4799
184644188,N,Omirou,St,,3500,3598,3501,3599
184644189,N,Berlau,St,,4700,4798,4701,4799
184644190,N,Ithakis,St,,3300,3498,3301,3499
184644191,N,Barwyn,St,,4800,4898,4801,4899
184644192,N,Bairn,St,,4800,4898,4801,4899
184644193,N,Ithakis,St,,3100,3298,3101,3299
184644194,N,Omirou,St,,3300,3498,3301,3499
184644195,N,Barwyn,St,,4700,4798,4701,4799
184644196,N,Bairn,St,,4700,4798,4701,4799
184644197,N,Omirou,St,,3100,3298,3101,3299
184644198,N,Ketallinias,St,,3600,3698,3601,3699
184644199,N,Bilar,St,,4600,4698,4601,4699
184644200,N,Berlau,St,,4600,4698,4601,4699
184644201,N,Ketallinias,St,,3500,3598,3501,3599
184644202,N,Hacia,St,,3600,3698,3601,3699
184644203,N,Bilar,St,,4500,4598,4501,4599
184644204,N,Hacia,St,,3500,3598,3501,3599
184644205,N,Berlau,St,,4500,4598,4501,4599
184644206,N,Ketallinias,St,,3300,3498,3301,3499
184644207,N,Barwyn,St,,4600,4698,4601,4699
184644208,N,Bairn,St,,4600,4698,4601,4699
184644209,N,Ketallinias,St,,3100,3298,3101,3299
184644210,N,Hacia,St,,3400,3498,3401,3499
184644211,N,Barwyn,St,,4500,4598,4501,4599
184644212,N,Hacia,St,,3300,3398,3301,3399
184644213,N,Barabla,St,,4500,4598,4501,4599
184644214,N,Hacia,St,,3100,3298,3101,3299
184644215,N,Bairn,St,,4500,4598,4501,4599
184644216,N,Averof,St,,4910,4998,4901,4999
184644217,N,Averof,St,,4900,4908,4875,4899
184644218,N,Ithakis,St,,3000,3098,3001,3099
184644219,N,Averof,St,,4810,4898,4801,4873
184644220,N,Ithakis,St,,2900,2998,2901,2999
184644221,N,Aveny,St,,4800,4898,4801,4899
184644222,N,Asiant,St,,4800,4898,4801,4899
184644223,N,Ithakis,St,,2800,2898,2801,2899
184644224,N,Averof,St,,4800,4808,4711,4799
184644225,N,Omirou,St,,3000,3098,3001,3099
184644226,N,Averof,St,,4700,4798,4701,4709
184644227,N,Omirou,St,,2900,2998,2901,2999
184644228,N,Aveny,St,,4600,4798,4601,4799
184644229,N,Omirou,St,,2800,2898,2801,2899
184644230,N,Asiant,St,,4600,4798,4601,4799
184644231,N,Ithakis,St,,2700,2798,2701,2799
184644232,N,Artakis,St,,4800,4898,4801,4899
184644233,N,Ithakis,St,,2600,2698,2601,2699
184644234,N,Arkadiou,St,,4800,4898,4801,4899
184644235,N,Ithakis,St,,2500,2598,2501,2599
184644237,N,Artakis,St,,4600,4798,4601,4799
184644238,N,Arkadou,St,,4800,4898,4801,4899
184644239,N,Omirou,St,,2600,2798,2601,2799
184644240,N,Arkadou,St,,4600,4798,4601,4799
184644241,N,Omirou,St,,2500,2598,2501,2599
184644242,N,Averof,St,,4600,4698,4609,4699
184644243,N,Hacia,St,,3000,3098,3001,3099
184644244,N,Hacia,St,,2900,2998,2901,2999
184644245,N,Asiant,St,,4500,4598,4501,4599
184644246,N,Hacia,St,,2800,2898,2801,2899
184644247,N,Averof,St,,4514,4598,4601,4607
184644248,N,Averof,St,,4500,4512,4551,4599
184644249,N,Thessalias,St,,3000,3098,3001,3099
184644250,N,Aveny,St,,4500,4598,4501,4599
184644251,N,Thessalias,St,,2900,2998,2901,2999
184644252,N,Aveny,St,,4400,4498,4401,4499
184644254,N,Asiant,St,,4400,4498,4401,4499
184644255,N,Hacia,St,,2700,2798,2701,2799
184644256,N,Artakis,St,,4500,4598,4501,4599
184644257,N,Hacia,St,,2600,2698,2601,2699
184644258,N,Arkadiou,St,,4600,4798,4601,4799
184644259,N,Arkadiou,St,,4500,4598,4501,4599
184644260,N,Hacia,St,,2500,2598,2501,2599
184644262,N,Artakis,St,,4400,4498,4401,4499
184644263,N,Arkadou,St,,4500,4598,4501,4599
184644264,N,Thessalias,St,,2600,2698,2601,2699
184644265,N,Arkadou,St,,4400,4498,4401,4499
184644267,N,Arkadiou,St,,4400,4498,4401,4499
184644268,,Finiatur,St,,2100,2298,2101,2299
184644270,N,Androutsou,St,,5300,5398,5301,5399
184644271,,Finiatur,St,,1800,2098,1801,2099
184644273,N,Androutsou,St,,5200,5298,5201,5299
184644274,N,Alm,St,,5300,5398,5301,5399
184644275,,Finiatur,St,,1400,1798,1401,1799
184644276,,Filis,St,,1800,1898,1801,1899
184644277,,Filis,St,,1200,1798,1201,1799
184644278,N,Androutsou,St,,5100,5198,5101,5199
184644279,N,Tolleniau,St,,1800,2098,1801,2099
184644280,N,Parla,St,,2348,2470,2401,2499
184644281,N,Antoniadou,St,,5000,5098,5001,5099
184644282,N,Parla,St,,2224,2346,2201,2399
184644283,N,Arbete,St,,5000,5098,5001,5099
184644284,N,Limnou,St,,2400,2498,2401,2499
184644285,N,Arbete,St,,4900,4998,4901,4999
184644286,N,Limnou,St,,2200,2398,2201,2399
184644287,N,Parla,St,,2100,2222,2101,2199
184644288,N,Anntigonou,St,,5000,5098,5001,5099
184644289,N,Androutsou,St,,5000,5098,5001,5099
184644290,N,Parla,St,,1900,2098,1901,2099
184644291,N,Limnou,St,,2100,2198,2101,2199
184644292,N,Anntigonou,St,,4900,4998,4901,4999
184644293,N,Limnou,St,,1900,2098,1901,2099
184644294,N,Androutsou,St,,4900,4998,4901,4999
184644295,N,Alm,St,,5200,5298,5201,5299
184644296,N,Alm,St,,5100,5198,5101,5199
184644297,N,Tolleniau,St,,1400,1798,1401,1799
184644298,N,Parla,St,,1800,1898,1801,1899
184644299,N,Amfitris,St,,5000,5098,5001,5099
184644300,N,Parla,St,,1664,1798,1601,1799
184644301,N,Alm,St,,5000,5098,5001,5099
184644302,N,Parla,St,,1532,1662,1501,1599
184644303,N,Alexandrias,St,,5000,5098,5001,5099
184644304,N,Agisilaou,St,,5300,5398,5301,5399
184644305,N,Agisilaou,St,,5200,5298,5201,5299
184644306,N,Finiatur,St,,1000,1024,1001,1025
184644307,N,Idris,Dr,,5200,5398,5201,5399
184644308,N,Acera,St,,5200,5348,5201,5399
184644309,N,Agisilaou,St,,5100,5198,5101,5199
184644310,N,Parla,St,,1400,1530,1401,1499
184644311,N,Parla,St,,1300,1398,1301,1399
184644312,N,Agisilaou,St,,5000,5098,5001,5099
184644313,N,Parla,St,,1200,1298,1201,1299
184644314,N,Agiasou,St,,5000,5098,5001,5099
184644315,N,Parla,St,,1100,1198,1101,1199
184644316,N,Agentes,St,,5000,5098,5001,5099
184644317,N,Limnou,St,,1200,1298,1201,1299
184644318,N,Tolleniau,St,,1000,1024,963,1025
184644319,N,Tolleniau,St,,900,998,901,961
184644320,N,Ermou,St,,5100,5198,5101,5199
184644321,N,Parla,St,,1000,1098,1001,1099
184644322,N,Achilleos,St,,5000,5098,5001,5099
184644323,N,Parla,St,,898,998,901,999
184644324,N,Acera,St,,5000,5098,5001,5099
184644325,N,Ermou,St,,5000,5098,5001,5099
184644326,N,Parla,St,,846,896,801,899
184644327,N,Ithakis,St,,2400,2498,2401,2499
184644328,N,Arbete,St,,4800,4898,4801,4899
184644329,N,Antoniadou,St,,4900,4998,4901,4999
184644330,N,Ithakis,St,,2200,2398,2201,2399
184644331,N,Antoniadou,St,,4800,4898,4801,4899
184644332,N,Ithakis,St,,2100,2198,2101,2199
184644333,N,Omirou,St,,2400,2498,2401,2499
184644334,N,Omirou,St,,2200,2398,2201,2399
184644335,N,Antoniadou,St,,4600,4798,4601,4799
184644336,N,Anntigonou,St,,4800,4898,4801,4899
184644337,N,Omirou,St,,2100,2198,2101,2199
184644338,N,Anntigonou,St,,4600,4798,4601,4799
184644339,N,Amfitris,St,,4900,4998,4901,4999
184644340,N,Limnou,St,,1800,1898,1801,1899
184644341,N,Ithakis,St,,1900,2098,1901,2099
184644342,N,Androutsou,St,,4800,4898,4801,4899
184644343,N,Ithakis,St,,1800,1898,1801,1899
184644344,N,Amfitris,St,,4750,4898,4801,4899
184644345,N,Limnou,St,,1600,1798,1601,1799
184644346,N,Alm,St,,4900,4998,4901,4999
184644348,N,Limnou,St,,1500,1598,1501,1599
184644349,N,Alm,St,,4800,4898,4751,4899
184644350,N,Omirou,St,,1900,2098,1901,2099
184644351,N,Androutsou,St,,4600,4798,4601,4799
184644352,N,Amfitris,St,,4600,4748,4601,4799
184644354,N,Alm,St,,4600,4798,4601,4749
184644355,N,Alexandrias,St,,4600,4798,4601,4799
